Year,id,Country Name,lnTHE,lnNCDs,lnSFI,lnIWR,lnOD,OD,THE
2000,98,Uzbekistan,1.50079644,4.248495242,4.509760001,4.485259889,-2.302585093,0.1,29.71507593
2012,98,Uzbekistan,1.497243088,4.374498368,4.605170186,4.469350463,-4.605170186,0.01,116.1604376
2000,99,"Venezuela, RB",1.506731162,4.191168747,4.480740108,4.511957804,2.079441542,8.000000003,234.7885174
2012,99,"Venezuela, RB",1.511058229,4.209160237,4.543294782,4.531523646,1.757857918,5.800000003,613.2415623
2000,100,Vietnam,1.469942894,4.185098925,3.968403339,4.348986781,3.068052935,21.5,20.49500152
2012,100,Vietnam,1.513183555,4.289088639,4.291828367,4.541164856,0.693147181,2.000000001,120.1149764
2000,101,"Yemen, Rep.",1.409199158,3.440418095,3.673765816,4.092676505,3.456316681,31.7,25.26729842
2012,101,"Yemen, Rep.",1.387671749,3.666122467,3.975936331,4.005513349,3.091042453,21.99999999,73.90669276
2000,102,Zambia,1.378839622,2.701361213,3.703768067,3.970291914,3.117949906,22.59999999,24.36048524
2012,102,Zambia,1.421452682,3.117949906,3.765840495,4.143134726,2.734367509,15.39999999,82.86919808
2000,103,Zimbabwe,1.475791854,2.753660712,3.668676747,4.374498368,3.387774361,29.59999999,37.51600658
2012,103,Zimbabwe,1.470239736,3.417726684,3.618993327,4.350277936,3.328626689,27.9,57.25376348
