Year,id,Country Name,lnGNI,lnNCDs,lnSFI,lnOPhE,lnIWR,GNI,,,,,,,,,,,,,,,,OPHE,lnGNI,OD,IWR,5.478607144
2012,68,Morocco,8.006367568,4.321480135,4.325456283,4.042805448,4.437934267,3000.000001,,,,,,,,,,,,,,,,56.98599,8.006367568,10.2,84.6,3.477580115
2000,69,Mozambique,5.634789603,3.005682604,2.646174797,2.501122788,3.716008122,280,,,,,,,,,,,,,,,,12.19618,5.634789603,55.3,41.1,1.161508359
2012,69,Mozambique,6.253828812,3.144152279,2.985681938,1.969854468,3.914021008,520.0000002,,,,,,,,,,,,,,,,7.169633,6.253828812,40.9,50.1,3.164167771
2000,70,Myanmar,4.700480366,3.822098298,4.12552018,4.451908627,4.198704578,110,,,,,,,,,,,,,,,,85.79053,4.700480366,12.1,66.6,4.835571787
2012,70,Myanmar,5.913503006,4.072439727,4.374498368,4.079079813,4.385769621,370.0000001,,,,,,,,,,,,,,,,59.09107,5.913503006,4.5,80.3,6.148252317
2000,71,Namibia,7.654443226,3.370738174,3.310543013,1.730263249,4.363098625,2109.999999,,,,,,,,,,,,,,,,5.642139,7.654443226,57.8,78.5,2.501859494
2012,71,Namibia,8.603370888,3.761200116,3.499533282,1.99517911,4.48638665,5450.000002,,,,,,,,,,,,,,,,7.35352,8.603370888,50.2,88.8,3.648407413
2000,72,Nepal,5.438079309,3.799973502,3.077312261,4.22673958,4.345103281,230,,,,,,,,,,,,,,,,68.49355,5.438079309,64.3,77.1,4.003361978
2012,72,Nepal,6.536691598,4.087655574,3.716008122,3.826683176,4.487512143,690.0000003,,,,,,,,,,,,,,,,45.91001,6.536691598,38,88.9,4.963766646
2000,73,Nicaragua,6.877296071,4.050044303,3.996364154,3.752916834,4.368181228,969.9999995,,,,,,,,,,,,,,,,42.64529,6.877296071,16.1,78.9,2.187668494
2012,73,Nicaragua,7.43838353,4.294560609,4.201703081,3.695440508,4.456670178,1700,,,,,,,,,,,,,,,,40.263305,7.43838353,8,86.2,3.142606276
